wdpaid,year,class,pixels,path_2000_tif,path_2010_tif
191,2000-2010,90-80,13,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,40-60,247,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,60-30,508,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,40-40,740052,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,60-50,597,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,30-30,515125,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,90-20,491235,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,255-50,283,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,40-20,145,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,50-80,9,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,80-80,1415,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,90-60,49,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,255-30,498,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,30-60,44,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,50-90,300,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,20-30,262644,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000,40,17645,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,-1
191,2000,90,223149,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,-1
191,2000,20,301367,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,-1
191,2000,30,83028,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,-1
191,2000,255,41528350,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,-1
191,2010,40,17645,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2010,90,223149,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2010,20,301367,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2010,30,83028,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2010,255,41528350,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2000-2010,255-255,41528350,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2000-2010,20-20,301367,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2000-2010,90-90,223149,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2000-2010,40-40,17645,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
191,2000-2010,30-30,83028,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\N15_00_2000LC030\N15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\N15_00_2010LC030\N15_00_2010LC030.tif
