oid, id, partcount, pointcount
498,189168.0,528,61492
499,172438.0,1,393
500,172438.0,1,1283
501,154885.0,3,39070
502,164523.0,15,8303
503,80166801.0,1,4334
504,197884.0,1,369
505,14255713.0,10,2939
506,170266.0,11,206831
507,189520.0,1,8555
508,22706502.0,11,4900
509,15249.0,1,49
510,57212.0,1,361
511,190125.0,378,2142657
512,190125.0,10,1165363
513,190125.0,378,2142657
514,191937.0,1,496
515,45069.0,1,24
516,178501.0,1,36
517,162163.0,1,1857
518,182491.0,1,481
519,199744.0,1,220
520,159089.0,1,986
521,32364.0,3,2372
522,196776.0,1,53
523,4807.0,1,33
524,4807.0,1,61
525,55875.0,2,81
526,167775.0,1,136
527,167775.0,1,65
528,56373.0,1,317
529,180539.0,8,67313
530,194155.0,45,16673
531,194155.0,7,5659
532,194155.0,3,344
533,22705029.0,1,699
534,22705029.0,472,90397
535,64280.0,1,87
536,20640832.0,1,220
537,22716252.0,1,7248
538,103870959.0,1,30
539,59118.0,4,30283
540,194819.0,3,24021
541,56768.0,2,268
542,67997668.0,85,1107881
543,189594.0,268,10382
544,18554.0,2,439
545,59075.0,1,6207
546,68451938.0,1,5527
547,2650.0,2,409
548,153709.0,347,23292
549,183309.0,5,31016
550,8783.0,2,2272
551,188320.0,3,28988
552,174425.0,2,220
553,22720450.0,7,743
554,180970.0,72,6027
555,58833.0,1,25
556,170255.0,1,401
557,136845.0,1,85
558,10215.0,1,22
559,60383.0,1,789
560,161554.0,2,28
561,57435.0,1,1899
562,157552.0,103,5898
563,49254700.0,1,841
564,49254700.0,3,721
565,134855.0,1,605
566,167497.0,89,5617
567,167497.0,304,12043
568,167497.0,2,831
569,167497.0,25,1153
570,167497.0,1,90
571,167497.0,4,1497
572,167497.0,1,280
573,22713801.0,1,93
574,134039.0,4,6128
575,164438.0,3128,179731
576,164438.0,3,2231
577,22701112.0,150,80399
578,61173.0,1,1611
579,189363.0,1,557
580,189363.0,124,10805
581,55657.0,3,5704
582,63301.0,1,1918
583,135751.0,1,13
584,136000.0,1,12
585,22697595.0,857,53814
586,22697595.0,1,37
587,64227.0,2,487
588,64227.0,25,25763
589,22682673.0,18,923
590,22682673.0,1,17
591,63303.0,2,2234
592,22697706.0,846,44317
593,132991.0,31,212101
594,166697.0,624,59445
595,166697.0,7,2408
596,166697.0,3,1091
597,166697.0,14,1830
598,39771.0,14,1718
599,61895.0,1,56
600,9094.0,1,482
601,13171.0,4,1158
602,22700891.0,114,9120
603,60590.0,2,2085
604,41708.0,6,1257
605,41708.0,88,27773
606,41708.0,2,1243
607,41708.0,17,7339
608,41708.0,2,159
609,41708.0,1,81
610,41708.0,3,50
611,41708.0,1,377
612,41708.0,4,1009
613,41708.0,1,346
614,41708.0,59,8536
615,41708.0,3,444
616,41708.0,1,111
617,41708.0,3,870
618,41708.0,4,130
619,41708.0,1,74
620,41708.0,1,1349
621,41708.0,7,2078
622,41708.0,1,191
623,137297.0,25,2989
624,22680174.0,398,17201
625,22680174.0,1352,57992
626,22680174.0,464,31226
627,193772.0,313,57339
628,103880146.0,4,354
629,161861.0,1,989
630,161861.0,1,989
631,181101.0,8,10644
632,181101.0,2,11524
633,181101.0,8,13877
634,56255.0,2,18
635,22705652.0,1,5550
636,57487.0,1,32
637,57487.0,1,7334
638,54974.0,1,33
639,49829834.0,1,275
640,49829834.0,5,1963
641,64095.0,1,186
642,64095.0,1,10
643,64095.0,2,229
644,64095.0,1,361
645,64095.0,26,3150
646,170335.0,15,51127
647,133658.0,30,159998
648,135108.0,1,880
649,182395.0,3,6665
650,182395.0,4,3014
651,58847.0,5,278
652,60473.0,1,1974
653,176759.0,4,17647
654,22724367.0,1385,65919
655,22724367.0,1,63
656,22724367.0,614,40323
657,22724367.0,5,645
658,11518.0,109,9047
659,188952.0,179,15146
660,196213.0,6,342
661,22720132.0,2,2098
662,88089862.0,1,442
663,164307.0,1,1468
664,17078.0,1,361
665,156025.0,147,14980
666,156025.0,3649,212053
667,184243.0,18,33544
668,15253.0,1,5961
669,44988.0,6,2628
670,133267.0,67,279469
671,11144.0,7,94625
672,177455.0,2,7546
673,177455.0,1,249
674,5500.0,1,121
675,60720.0,1,1911
676,187735.0,3,19337
677,104006414.0,11,775
678,172681.0,3,130
679,22720319.0,50,2442
680,13244.0,309,561572
681,185286.0,2,1734
682,166788.0,55,27492
683,166788.0,5,1547
684,166788.0,9,1824
685,166788.0,20,7393
686,19199584.0,1486,173061
687,56681.0,1,117
688,16759230.0,7,52957
689,22727057.0,158,7230
690,136268.0,2,6348
691,155816.0,1,580
692,188051.0,1,4754
693,188051.0,1,1199
694,12119.0,1,1044
695,57925.0,2,43
696,185429.0,4,1734
697,59506.0,2,722
698,185605.0,8,32647
699,196381.0,1,826
700,22726352.0,2,1216
701,181340.0,1,3761
702,17181950.0,1,168
703,17181950.0,6,647
704,17181950.0,2,462
705,19808.0,1,2236
706,19808.0,1,5023
707,54530.0,1,14
708,13451.0,72,83983
709,61344.0,1,546
710,61344.0,1,1796
711,22715475.0,10,2246
712,59218.0,3,615
713,180854.0,2,1852
714,59438.0,3,23157
715,183237.0,1,22191
716,56352.0,2,1676
717,196627.0,2,4151
718,162119.0,1,1270
719,103838531.0,2,33
720,196120.0,3,686
721,20665873.0,4,94146
722,168883.0,5981,431647
723,55907.0,1,5359
724,196643.0,1,1640
725,6561.0,1,270
726,6561.0,5,24815
727,62221.0,2,2766
728,62221.0,10,7595
729,62221.0,5,3577
730,134978.0,9,833
731,181713.0,1,1109
732,181713.0,4,2539
733,56494.0,1,24
734,191488.0,19,9280
735,88508892.0,1,137
736,88508892.0,1,333
737,88508892.0,1,117
738,88508892.0,1,231
739,88508892.0,1,236
740,88508892.0,1,107
741,168585.0,1,3541
742,168585.0,1,1904
743,175177.0,1,827
744,175177.0,3,1064
745,22679460.0,2585,174117
746,22679460.0,307,29361
747,22679460.0,1425,75084
748,22679460.0,90,6877
749,22679460.0,2260,126001
750,198871.0,1,199
751,181139.0,1,5314
752,199928.0,1,54
753,22732795.0,1,1619
754,138446.0,2,6792
755,137430.0,3,10124
756,22732863.0,1,187
757,58425.0,1,5
758,56482.0,2,2587
759,56482.0,1,79
760,181196.0,102,9860
761,156960.0,1,539
762,22717705.0,16,4014
763,155007.0,3,27927
764,22700809.0,2,132
765,136644.0,1,1234
766,20025.0,1,127
767,20025.0,638,141270
768,41526.0,1,92
769,41526.0,1,870
770,41526.0,1,450
771,170420.0,1,348
772,182361.0,4,3634
773,182361.0,1,393
774,22695021.0,577,110574
775,576.0,1,163
776,103878959.0,82,11228
777,56935.0,1,361
778,192740.0,5,12091
779,154029.0,5,6550
780,165792.0,8,17208
781,22706033.0,371,36488
782,58109.0,1,67373
783,189172.0,11,2076
784,189172.0,1450,68004
785,49542471.0,1,573
786,49542471.0,1,573
787,49542471.0,12,10185
788,49542471.0,12,10185
789,9185.0,1,742
790,18232.0,2,189
791,54536.0,1,26
792,174502.0,1,1245
793,174502.0,8,1083
794,22725745.0,41,1508
795,167673.0,1,202
796,167673.0,1,538
797,158856.0,20,5018
798,49254458.0,4,1612
799,22690645.0,658,36697
800,22690645.0,56,19840
801,15571.0,1,535
802,15571.0,1,196
803,15571.0,3,397
804,180923.0,213,62548
805,22692907.0,55,11381
806,133984.0,3,677
807,170028.0,1,13714
808,10190.0,1483,61332
809,196387.0,60,8375
810,103656944.0,2,3449
811,166286.0,99,8471
812,166286.0,69,9895
813,166286.0,670,27983
814,22698715.0,25,3388
815,11340.0,1,1833
816,22704502.0,12,947
817,194000.0,82,6813
818,189211.0,1,1849
819,90386297.0,1,131
820,195582.0,2,63
821,59254.0,1,31
822,59254.0,2,67
823,22679909.0,3,548
824,22679909.0,84,5672
825,22679909.0,231,9643
826,192024.0,43,4349
827,58323.0,1,361
828,63924.0,1,46
829,23328.0,1,28
830,23328.0,1,31
831,23328.0,1,22
832,23328.0,1,21
833,23328.0,1,33
834,23328.0,1,26
835,23328.0,1,22
836,23328.0,1,270
837,23328.0,1,4468
838,23328.0,1,90
839,23328.0,1,37
840,23328.0,1,16
841,23328.0,1,21
842,23328.0,1,58
843,23328.0,1,143
844,22708627.0,5,239
845,178534.0,1,168
846,178549.0,13,535
847,88087329.0,4,1585
848,22728277.0,3,167
849,133656.0,5,149037
850,178439.0,1,27
851,178562.0,1,118
852,192567.0,85,376670
853,182828.0,7,33547
854,182828.0,24,24885
855,22698922.0,1,1580
856,55130.0,2,404
857,196317.0,5931,241877
858,39929.0,1,54
859,202609.0,32,10085
860,56151913.0,1,59
861,548.0,1,29
862,195922.0,2,144
863,133489.0,5,135588
864,136166.0,1,30
865,181736.0,1,1827
866,181736.0,6,488
867,22689517.0,2,6352
868,22712643.0,19,8442
869,22712643.0,1117,246228
870,22712643.0,334,178836
871,22726303.0,5,2646
872,56997.0,1,145
873,95972054.0,1,268
874,176717.0,15,159154
875,22734337.0,3,3064
876,19716454.0,1,2338
877,193221.0,57,103104
878,185071.0,210,170045
879,133408.0,70,285494
880,190788.0,1,7167
881,190788.0,1,38
882,190788.0,2,732
883,61855.0,2,722
884,154920.0,5,2707
885,3410.0,1,464
886,55971.0,3,743
887,59299.0,1,68
888,47260774.0,92,159571
889,47260774.0,6,5935
890,184850.0,1,6443
891,184850.0,2,2501
892,198972.0,4,7036
893,64315805.0,854,72136
894,22734593.0,5,68
895,7932.0,1,167
896,7932.0,1,1528
897,178094.0,2,15789
898,61143.0,1,1485
899,58708.0,1,166
